[25-Oct-2016 16:32:13 America/Bogota] PHP Parse error:  syntax error, unexpected '*' in C:\xampp\htdocs\cripack\views\terceros\historial.phtml on line 44
[25-Oct-2016 16:36:13 America/Bogota] PHP Parse error:  syntax error, unexpected '||' (T_BOOLEAN_OR) in C:\xampp\htdocs\cripack\views\terceros\historial.phtml on line 42
[25-Oct-2016 16:47:24 America/Bogota] PHP Notice:  Array to string conversion in C:\xampp\htdocs\cripack\views\template\menu.phtml on line 28
[25-Oct-2016 16:47:40 America/Bogota] PHP Parse error:  syntax error, unexpected ';' in C:\xampp\htdocs\cripack\views\template\menu.phtml on line 28
[25-Oct-2016 16:50:08 America/Bogota] PHP Parse error:  syntax error, unexpected 'Session' (T_STRING) in C:\xampp\htdocs\cripack\controllers\TercerosController.php on line 110
[25-Oct-2016 16:50:10 America/Bogota] PHP Parse error:  syntax error, unexpected 'Session' (T_STRING) in C:\xampp\htdocs\cripack\controllers\TercerosController.php on line 110
[25-Oct-2016 16:50:10 America/Bogota] PHP Parse error:  syntax error, unexpected 'Session' (T_STRING) in C:\xampp\htdocs\cripack\controllers\TercerosController.php on line 110
[25-Oct-2016 16:50:11 America/Bogota] PHP Parse error:  syntax error, unexpected 'Session' (T_STRING) in C:\xampp\htdocs\cripack\controllers\TercerosController.php on line 110
[25-Oct-2016 16:50:32 America/Bogota] PHP Parse error:  syntax error, unexpected 'Session' (T_STRING) in C:\xampp\htdocs\cripack\controllers\TercerosController.php on line 110
[25-Oct-2016 16:50:33 America/Bogota] PHP Parse error:  syntax error, unexpected 'Session' (T_STRING) in C:\xampp\htdocs\cripack\controllers\TercerosController.php on line 110
[25-Oct-2016 16:50:33 America/Bogota] PHP Parse error:  syntax error, unexpected 'Session' (T_STRING) in C:\xampp\htdocs\cripack\controllers\TercerosController.php on line 110
[25-Oct-2016 16:50:33 America/Bogota] PHP Parse error:  syntax error, unexpected 'Session' (T_STRING) in C:\xampp\htdocs\cripack\controllers\TercerosController.php on line 110
[25-Oct-2016 16:50:34 America/Bogota] PHP Parse error:  syntax error, unexpected 'Session' (T_STRING) in C:\xampp\htdocs\cripack\controllers\TercerosController.php on line 110
[25-Oct-2016 16:50:34 America/Bogota] PHP Parse error:  syntax error, unexpected 'Session' (T_STRING) in C:\xampp\htdocs\cripack\controllers\TercerosController.php on line 110
[25-Oct-2016 16:50:34 America/Bogota] PHP Parse error:  syntax error, unexpected 'Session' (T_STRING) in C:\xampp\htdocs\cripack\controllers\TercerosController.php on line 110
[25-Oct-2016 16:50:34 America/Bogota] PHP Parse error:  syntax error, unexpected 'Session' (T_STRING) in C:\xampp\htdocs\cripack\controllers\TercerosController.php on line 110
[25-Oct-2016 16:51:46 America/Bogota] PHP Parse error:  syntax error, unexpected 'Session' (T_STRING) in C:\xampp\htdocs\cripack\controllers\TercerosController.php on line 110
[25-Oct-2016 16:52:43 America/Bogota] PHP Parse error:  syntax error, unexpected 'Session' (T_STRING) in C:\xampp\htdocs\cripack\controllers\TercerosController.php on line 110
